label,description,price,allergens,ingredients,image,available,category
Cono gelato medio,No servizio al tavolo ,"€ 2,50",,,,Si,Gelati
Cono gelato grande ,No servizio al tavolo ,"€ 3,00",,,,Si,Gelati
Cono gelato croccante ,No servizio al tavolo ,"€ 3,00",,,,Si,Gelati
Coppetta gelato piccola ,No servizio al tavolo ,"€ 2,50",,,,Si,Gelati
Coppetta gelato media ,No servizio al tavolo ,"€ 3,00",,,,Si,Gelati
Coppetta gelato grande ,No servizio al tavolo ,"€ 3,50",,,,Si,Gelati
Cialda Croccante ,No servizio al tavolo ,"€ 3,50",,,,Si,Gelati
Aggiunta panna ,,"€ 0,50",,,,Si,
,,,,,,,
Coppa gelato media,,"€ 4,00",,,,Si,Gelatoni
Coppa gelato grande ,,"€ 6,00",,,,Si,Gelatoni
Frappè ,,"€ 3,50",,,,Si,Gelatoni
Brioches farcita gelato ,,"€ 3,50",,,,Si,Gelatoni
Crepes farcita con gelato ,,"€ 5,00",,,,Si,Gelatoni
Cornetto Farcito con gelato ,,"€ 3,00",,,,Si,Gelatoni
Aggiunta panna   ,,"€ 1,00",,,,Si,
,,,,,,,
Caffè ,,"€ 1,00",,,,Si,Caffe'
Caffè decaffeinato ,,"€ 1,20",,,,Si,Caffe'
Caffè al ghiaccio ,,"€ 1,20",,,,Si,Caffe'
Caffè corretto ,,"€ 1,50",,,,Si,Caffe'
Caffè leccese,,"€ 2,00",,,,Si,Caffe'
Espressino,,"€ 1,20",,,,Si,Caffe'
Espressino decaffeinato ,,"€ 1,40",,,,Si,Caffe'
Espressino senza lattosio ,,"€ 1,40",,,,Si,Caffe'
Espressino di soia ,,"€ 1,50",,,,Si,Caffe'
Ginseng ,,"€ 1,20",,,,Si,Caffe'
Caffè d'orzo,,"€ 1,50",,,,Si,Caffe'
Cappuccino ,,"€ 1,50",,,,Si,Caffe'
Cappuccino senza lattosio ,,"€ 1,70",,,,Si,Caffe'
Cappuccino di soia,,"€ 1,80",,,,Si,Caffe'
Caffè freddo ,,"€ 1,50",,,,Si,Caffe'
Latte bianco ,,"€ 1,20",,,,Si,Latte e cioccolato
Latte bianco senza lattosio ,,"€ 1,50",,,,Si,Latte e cioccolato
Latte macchiato,,,,,,Si,Latte e cioccolato
Tisane,,"€ 2,00",,,,Si,Bibite
The caldo ,,"€ 2,00",,,,Si,Bibite
Cioccolata calda ,,"€ 3,00",,,,Si,Latte e cioccolato
Cornetto,,"€ 1,00",,,,Si,Cornetti e paste
Treccia,,"€ 1,50",,,,Si,Cornetti e paste
Conchiglia ,,"€ 1,50",,,,Si,Cornetti e paste
Cornetto ace,,"€ 1,50",,,,Si,Gelatoni
Aggiunta creme ,,"€ 1,20",,,,Si,
,,,,,,,
Ciambella ,,"€ 1,50",,,,Si,Dolci
Muffin Nutella ,,"€ 2,00",,,,Si,Dolci
Biscotti vari gusti,,"€ 1,00",,,,Si,Dolci
Crepes ,,"€ 3,00",,,,Si,Dolci
Pancake ,,"€ 4,00",,,,Si,Dolci
,,,,,,,
Estathè,,"€ 2,50",,,,Si,Bibite
Fanta lattina,,"€ 2,00",,,,Si,Bibite
Fanta bottiglia ,,"€ 2,50",,,,Si,Bibite
Coca cola lattina,,"€ 2,00",,,,Si,Bibite
Coca cola bottiglia ,,"€ 2,50",,,,Si,Bibite
Lurisia limonata,,"€ 2,50",,,,Si,Bibite
Lurisia chinotto,,"€ 2,50",,,,Si,Bibite
Lurisia Aranciata ,,"€ 2,50",,,,Si,Bibite
Cocktail San Pellegrino ,,"€ 2,00",,,,Si,Bibite
Cedrata San Pellegrino ,,"€ 2,00",,,,Si,Bibite
Schweppes Limone,,"€ 2,00",,,,Si,Bibite
Schweppes Tonica,,"€ 2,00",,,,Si,Bibite
Crodino,,"€ 2,00",,,,Si,Bibite
Bitter rosso ,,"€ 2,00",,,,Si,Bibite
Bitter bianco,,"€ 2,00",,,,Si,Bibite
Campari Soda,,"€ 2,50",,,,Si,Bibite
Succo di frutta ,,"€ 2,00",,,,Si,Bibite
Succo di frutti rossi,,"€ 2,50",,,,Si,Bibite
Nastro Azzurro,,"€ 2,00",,,,Si,Birre
Beck's,,"€ 2,50",,,,Si,Birre
Peroni al limone ,,"€ 2,00",,,,Si,Birre
Menabrea,,"€ 3,00",,,,Si,Birre
Corona ,,"€ 3,00",,,,Si,Birre
Bjorne,,"€ 3,00",,,,Si,Birre
Tourtel analcolica,,"€ 2,00",,,,Si,Birre
Acqua,,"€ 1,00",,,,Si,Bibite
,,,,,,,
Kraken,,"€ 5,00",,,,Si,Rum
Don Papa ,,"€ 5,00",,,,Si,Rum
Diplomatico riserva ,,"€ 7,00",,,,Si,Rum
Havana club especial ,,"€ 2,50",,,,Si,Rum
,,,,,,,
903 bianca,,"€ 3,00",,,,Si,Grappe
903 barricata,,"€ 3,50",,,,Si,Grappe
La corte barricata ,Invecchiata di 12 mesi,"€ 4,00",,,,Si,Grappe
Poli Sarpa Oro,,"€ 4,00",,,,Si,Grappe
,,,,,,,
Lucano,,"€ 2,50",,,,Si,Amari e liquori
Jägermeister,,"€ 2,50",,,,Si,Amari e liquori
Montenegro ,,"€ 2,50",,,,Si,Amari e liquori
Amaro del Capo,,"€ 2,50",,,,Si,Amari e liquori
Disaronno,,"€ 2,50",,,,Si,Amari e liquori
,,,,,,,
Jameson,Irlanda,"€ 3,50",,,,Si,Whiskey
Jack Daniel's,USA,"€ 4,00",,,,Si,Whiskey
Four Roses,USA,"€ 5,00",,,,Si,Whiskey
Laphroaig,Scozia,"€ 6,00",,,,Si,Whiskey
,,,,,,,
San Marzano ,,"€ 3,00",,,,Si,Amari e liquori
Sambuca Molinari,,"€ 3,00",,,,Si,Amari e liquori
Baileys,,"€ 3,00",,,,Si,Amari e liquori
,,,,,,,
Gin Broker's,,"€ 3,00",,,,Si,Gin
Tanqueray,,"€ 4,50",,,,Si,Gin
Hendrick's ,,"€ 6,00",,,,Si,Gin
,,,,,,,
Bottiglia Prosecco,Bollicina,"€ 25,00",,,,Si,Vini
Calice prosecco,Bollicina,"€ 3,00",,,,Si,Vini
,,,,,,,
Calice vino Rosso ,,"€ 3,50",,,,Si,Vini
Calice vino Rosato,,"€ 5,00",,,,Si,Vini
,,,,,,,
Patatine San Carlo,Gusti assortiti,"€ 1,50",,,,Si,Snacks
"Tris (patatine, arachidi, olive)",,"€ 3,50",,,,Si,Snacks
Ciotola patatine,,"€ 1,00",,,,Si,Snacks
Ciotola olive,,"€ 2,00",,,,Si,Snacks
Ciotola arachidi ,,"€ 1,00",,,,Si,Snacks
Ciotola Rice,,"€ 2,00",,,,Si,Snacks
Aperitivo grande,,"€ 7,00",,,,Si,Taglieri e panini
Aperitivo analcolico,Con bevanda analcolica compresa,"€ 7,00",,,,Si,Taglieri e panini
Piadina,,"€ 3,00",,,,Si,Taglieri e panini
Panino,,"€ 4,00",,,,Si,Taglieri e panini
Tramezzino ,,"€ 2,00",,,,Si,Taglieri e panini
Toast ,,"€ 2,00",,,,Si,Taglieri e panini
Pinsa,,"€ 8,00",,,,Si,Taglieri e panini
Coni fritti,2 pezzi,"€ 5,00",,,,Si,Taglieri e panini
Bruschette,4 pezzi,"€ 3,50",,,,Si,Taglieri e panini
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
